id,pretty_link,country
350238,"<div><a href=""/places/default/view/South-Georgia-and-the-South-Sandwich-Islands-210""><img src=""/places/static/images/flags/gs.png"" /> South Georgia and the South Sandwich Islands</a></div>",South Georgia and the South Sandwich Islands
350239,"<div><a href=""/places/default/view/South-Korea-211""><img src=""/places/static/images/flags/kr.png"" /> South Korea</a></div>",South Korea
350240,"<div><a href=""/places/default/view/South-Sudan-212""><img src=""/places/static/images/flags/ss.png"" /> South Sudan</a></div>",South Sudan
350241,"<div><a href=""/places/default/view/Spain-213""><img src=""/places/static/images/flags/es.png"" /> Spain</a></div>",Spain
350242,"<div><a href=""/places/default/view/Sri-Lanka-214""><img src=""/places/static/images/flags/lk.png"" /> Sri Lanka</a></div>",Sri Lanka
350243,"<div><a href=""/places/default/view/Sudan-215""><img src=""/places/static/images/flags/sd.png"" /> Sudan</a></div>",Sudan
350244,"<div><a href=""/places/default/view/Suriname-216""><img src=""/places/static/images/flags/sr.png"" /> Suriname</a></div>",Suriname
350245,"<div><a href=""/places/default/view/Svalbard-and-Jan-Mayen-217""><img src=""/places/static/images/flags/sj.png"" /> Svalbard and Jan Mayen</a></div>",Svalbard and Jan Mayen
350246,"<div><a href=""/places/default/view/Swaziland-218""><img src=""/places/static/images/flags/sz.png"" /> Swaziland</a></div>",Swaziland
350247,"<div><a href=""/places/default/view/Sweden-219""><img src=""/places/static/images/flags/se.png"" /> Sweden</a></div>",Sweden
350248,"<div><a href=""/places/default/view/Switzerland-220""><img src=""/places/static/images/flags/ch.png"" /> Switzerland</a></div>",Switzerland
350249,"<div><a href=""/places/default/view/Syria-221""><img src=""/places/static/images/flags/sy.png"" /> Syria</a></div>",Syria
350250,"<div><a href=""/places/default/view/Taiwan-222""><img src=""/places/static/images/flags/tw.png"" /> Taiwan</a></div>",Taiwan
350251,"<div><a href=""/places/default/view/Tajikistan-223""><img src=""/places/static/images/flags/tj.png"" /> Tajikistan</a></div>",Tajikistan
350252,"<div><a href=""/places/default/view/Tanzania-224""><img src=""/places/static/images/flags/tz.png"" /> Tanzania</a></div>",Tanzania
350253,"<div><a href=""/places/default/view/Thailand-225""><img src=""/places/static/images/flags/th.png"" /> Thailand</a></div>",Thailand
350254,"<div><a href=""/places/default/view/Togo-226""><img src=""/places/static/images/flags/tg.png"" /> Togo</a></div>",Togo
350255,"<div><a href=""/places/default/view/Tokelau-227""><img src=""/places/static/images/flags/tk.png"" /> Tokelau</a></div>",Tokelau
350256,"<div><a href=""/places/default/view/Tonga-228""><img src=""/places/static/images/flags/to.png"" /> Tonga</a></div>",Tonga
350257,"<div><a href=""/places/default/view/Trinidad-and-Tobago-229""><img src=""/places/static/images/flags/tt.png"" /> Trinidad and Tobago</a></div>",Trinidad and Tobago
350258,"<div><a href=""/places/default/view/Tunisia-230""><img src=""/places/static/images/flags/tn.png"" /> Tunisia</a></div>",Tunisia
350259,"<div><a href=""/places/default/view/Turkey-231""><img src=""/places/static/images/flags/tr.png"" /> Turkey</a></div>",Turkey
350260,"<div><a href=""/places/default/view/Turkmenistan-232""><img src=""/places/static/images/flags/tm.png"" /> Turkmenistan</a></div>",Turkmenistan
350261,"<div><a href=""/places/default/view/Turks-and-Caicos-Islands-233""><img src=""/places/static/images/flags/tc.png"" /> Turks and Caicos Islands</a></div>",Turks and Caicos Islands
350262,"<div><a href=""/places/default/view/Tuvalu-234""><img src=""/places/static/images/flags/tv.png"" /> Tuvalu</a></div>",Tuvalu
350263,"<div><a href=""/places/default/view/US-Virgin-Islands-235""><img src=""/places/static/images/flags/vi.png"" /> U.S. Virgin Islands</a></div>",U.S. Virgin Islands
350264,"<div><a href=""/places/default/view/Uganda-236""><img src=""/places/static/images/flags/ug.png"" /> Uganda</a></div>",Uganda
350265,"<div><a href=""/places/default/view/Ukraine-237""><img src=""/places/static/images/flags/ua.png"" /> Ukraine</a></div>",Ukraine
350266,"<div><a href=""/places/default/view/United-Arab-Emirates-238""><img src=""/places/static/images/flags/ae.png"" /> United Arab Emirates</a></div>",United Arab Emirates
350267,"<div><a href=""/places/default/view/United-Kingdom-239""><img src=""/places/static/images/flags/gb.png"" /> United Kingdom</a></div>",United Kingdom
350268,"<div><a href=""/places/default/view/United-States-240""><img src=""/places/static/images/flags/us.png"" /> United States</a></div>",United States
350269,"<div><a href=""/places/default/view/United-States-Minor-Outlying-Islands-241""><img src=""/places/static/images/flags/um.png"" /> United States Minor Outlying Islands</a></div>",United States Minor Outlying Islands
350270,"<div><a href=""/places/default/view/Uruguay-242""><img src=""/places/static/images/flags/uy.png"" /> Uruguay</a></div>",Uruguay
350271,"<div><a href=""/places/default/view/Uzbekistan-243""><img src=""/places/static/images/flags/uz.png"" /> Uzbekistan</a></div>",Uzbekistan
350272,"<div><a href=""/places/default/view/Vanuatu-244""><img src=""/places/static/images/flags/vu.png"" /> Vanuatu</a></div>",Vanuatu
350273,"<div><a href=""/places/default/view/Vatican-245""><img src=""/places/static/images/flags/va.png"" /> Vatican</a></div>",Vatican
350274,"<div><a href=""/places/default/view/Venezuela-246""><img src=""/places/static/images/flags/ve.png"" /> Venezuela</a></div>",Venezuela
350275,"<div><a href=""/places/default/view/Vietnam-247""><img src=""/places/static/images/flags/vn.png"" /> Vietnam</a></div>",Vietnam
350276,"<div><a href=""/places/default/view/Wallis-and-Futuna-248""><img src=""/places/static/images/flags/wf.png"" /> Wallis and Futuna</a></div>",Wallis and Futuna
350277,"<div><a href=""/places/default/view/Western-Sahara-249""><img src=""/places/static/images/flags/eh.png"" /> Western Sahara</a></div>",Western Sahara
350278,"<div><a href=""/places/default/view/Yemen-250""><img src=""/places/static/images/flags/ye.png"" /> Yemen</a></div>",Yemen
350279,"<div><a href=""/places/default/view/Zambia-251""><img src=""/places/static/images/flags/zm.png"" /> Zambia</a></div>",Zambia
350280,"<div><a href=""/places/default/view/Zimbabwe-252""><img src=""/places/static/images/flags/zw.png"" /> Zimbabwe</a></div>",Zimbabwe
